Tick,Strategy,Corridor,Agents,Winner,Outcome,Rounds,LoserWait
1,PRIORITY,"(7, 17)","['A', 'B']",A,SUCCESS,1,2
8,PRIORITY,"(3, 14)","['A', 'B']",A,SUCCESS,1,2
53,ALT-OFFER,"(8, 1)","['B', 'C']",B,SUCCESS,1,1
26,PRIORITY,"(7, 28)","['A', 'B', 'C']",A,SUCCESS,1,2
39,PRIORITY,"(1, 30)","['B', 'C']",C,SUCCESS,1,2
162,ALT-OFFER,"(10, 9)","['A', 'B']",B,SUCCESS,2,1
42,ALT-OFFER,"(4, 3)","['A', 'B']",A,SUCCESS,3,1
109,PRIORITY,"(1, 18)","['B', 'C']",C,SUCCESS,1,2
142,ALT-OFFER,"(13, 20)","['A', 'B']",B,SUCCESS,2,1
215,PRIORITY,"(10, 29)","['A', 'C']",A,SUCCESS,1,2
216,PRIORITY,"(10, 29)","['B', 'C']",B,SUCCESS,1,2
26,PRIORITY,"(3, 24)","['B', 'C']",B,SUCCESS,1,2
20,PRIORITY,"(1, 16)","['B', 'C']",B,SUCCESS,1,2
21,PRIORITY,"(2, 15)","['A', 'C']",A,SUCCESS,1,2
11,PRIORITY,"(10, 12)","['B', 'C']",B,SUCCESS,1,2
59,ALT-OFFER,"(3, 8)","['A', 'C']",A,SUCCESS,1,1
74,ALT-OFFER,"(5, 2)","['B', 'C']",None,TIMEOUT,3,1
165,PRIORITY,"(4, 27)","['A', 'C']",A,SUCCESS,1,2
166,PRIORITY,"(4, 27)","['B', 'C']",B,SUCCESS,1,2
7,PRIORITY,"(3, 15)","['A', 'B']",A,SUCCESS,1,2
58,ALT-OFFER,"(5, 5)","['B', 'C']",B,SUCCESS,1,1
8,PRIORITY,"(6, 13)","['A', 'B']",A,SUCCESS,1,2
10,PRIORITY,"(8, 19)","['B', 'C']",B,SUCCESS,1,2
131,PRIORITY,"(11, 8)","['A', 'C']",A,SUCCESS,1,2
32,PRIORITY,"(2, 3)","['A', 'B']",A,SUCCESS,1,2
70,ALT-OFFER,"(10, 4)","['B', 'C']",B,SUCCESS,1,1
102,ALT-OFFER,"(4, 13)","['A', 'C']",A,SUCCESS,1,1
5,PRIORITY,"(9, 17)","['A', 'B']",A,SUCCESS,1,2
46,ALT-OFFER,"(11, 8)","['A', 'C']",C,SUCCESS,2,1
2,PRIORITY,"(8, 17)","['B', 'C']",B,SUCCESS,1,2
165,PRIORITY,"(13, 25)","['A', 'B']",B,SUCCESS,1,2
3,PRIORITY,"(5, 17)","['B', 'C']",B,SUCCESS,1,2
8,ALT-OFFER,"(8, 19)","['A', 'B', 'C']",A,SUCCESS,1,1
15,ALT-OFFER,"(12, 19)","['B', 'C']",C,SUCCESS,2,1
183,ALT-OFFER,"(7, 3)","['A', 'B']",A,SUCCESS,1,1
1,PRIORITY,"(7, 17)","['A', 'B']",A,SUCCESS,1,2
26,PRIORITY,"(1, 24)","['A', 'B']",A,SUCCESS,1,2
130,PRIORITY,"(11, 11)","['B', 'C']",C,SUCCESS,1,2
32,PRIORITY,"(8, 13)","['B', 'C']",B,SUCCESS,1,2
98,PRIORITY,"(2, 14)","['A', 'C']",A,SUCCESS,1,2
176,PRIORITY,"(11, 27)","['A', 'C']",C,SUCCESS,1,2
19,PRIORITY,"(7, 11)","['A', 'B', 'C']",A,SUCCESS,1,2
20,PRIORITY,"(7, 11)","['B', 'C']",C,SUCCESS,1,2
127,PRIORITY,"(8, 18)","['A', 'B']",B,SUCCESS,1,2
46,ALT-OFFER,"(10, 11)","['B', 'C']",B,SUCCESS,1,1
99,ALT-OFFER,"(1, 8)","['A', 'C']",C,SUCCESS,2,1
100,ALT-OFFER,"(1, 8)","['A', 'B']",A,SUCCESS,1,1
185,ALT-OFFER,"(10, 33)","['B', 'C']",B,SUCCESS,1,1
9,ALT-OFFER,"(6, 12)","['A', 'B']",A,SUCCESS,3,1
113,PRIORITY,"(9, 17)","['A', 'C']",C,SUCCESS,1,2
114,PRIORITY,"(9, 17)","['A', 'B']",A,SUCCESS,1,2
169,ALT-OFFER,"(10, 28)","['B', 'C']",C,SUCCESS,2,1
200,ALT-OFFER,"(3, 25)","['A', 'B']",A,SUCCESS,1,1
37,PRIORITY,"(5, 13)","['B', 'C']",C,SUCCESS,1,2
162,ALT-OFFER,"(9, 21)","['A', 'B']",A,SUCCESS,1,1
163,ALT-OFFER,"(9, 21)","['B', 'C']",B,SUCCESS,1,1
201,PRIORITY,"(6, 1)","['A', 'C']",C,SUCCESS,1,2
2,PRIORITY,"(8, 17)","['B', 'C']",B,SUCCESS,1,2
225,PRIORITY,"(1, 4)","['A', 'C']",C,SUCCESS,1,2
133,PRIORITY,"(7, 25)","['B', 'C']",B,SUCCESS,1,2
9,PRIORITY,"(3, 13)","['A', 'B', 'C']",A,SUCCESS,1,2
43,PRIORITY,"(13, 22)","['B', 'C']",B,SUCCESS,1,2
8,ALT-OFFER,"(11, 14)","['B', 'C']",B,SUCCESS,1,1
9,ALT-OFFER,"(11, 14)","['A', 'C']",C,SUCCESS,2,1
188,ALT-OFFER,"(3, 8)","['A', 'B']",A,SUCCESS,1,1
22,PRIORITY,"(1, 26)","['B', 'C']",B,SUCCESS,1,2
85,PRIORITY,"(3, 13)","['A', 'B']",A,SUCCESS,1,2
5,PRIORITY,"(9, 19)","['A', 'B']",A,SUCCESS,1,2
8,PRIORITY,"(5, 12)","['A', 'B']",A,SUCCESS,1,2
3,PRIORITY,"(5, 17)","['A', 'B', 'C']",A,SUCCESS,1,2
4,PRIORITY,"(5, 17)","['B', 'C']",B,SUCCESS,1,2
42,ALT-OFFER,"(13, 8)","['A', 'C']",C,SUCCESS,2,1
153,ALT-OFFER,"(6, 23)","['A', 'B']",A,SUCCESS,1,1
154,ALT-OFFER,"(6, 23)","['B', 'C']",C,SUCCESS,2,1
199,ALT-OFFER,"(9, 2)","['A', 'B']",A,SUCCESS,1,1
103,ALT-OFFER,"(5, 33)","['A', 'B']",A,SUCCESS,1,1
171,ALT-OFFER,"(2, 11)","['B', 'C']",B,SUCCESS,1,1
17,ALT-OFFER,"(13, 13)","['B', 'C']",C,SUCCESS,2,1
10,ALT-OFFER,"(1, 18)","['A', 'B']",A,SUCCESS,1,1
102,ALT-OFFER,"(8, 13)","['A', 'C']",A,SUCCESS,1,1
51,PRIORITY,"(9, 1)","['A', 'B', 'C']",A,SUCCESS,1,2
52,PRIORITY,"(9, 1)","['B', 'C']",B,SUCCESS,1,2
116,PRIORITY,"(2, 25)","['A', 'C']",A,SUCCESS,1,2
40,PRIORITY,"(5, 6)","['A', 'C']",A,SUCCESS,1,2
6,PRIORITY,"(6, 19)","['B', 'C']",B,SUCCESS,1,2
40,ALT-OFFER,"(7, 5)","['A', 'C']",A,SUCCESS,1,1
7,ALT-OFFER,"(5, 13)","['A', 'B']",A,SUCCESS,1,1
84,ALT-OFFER,"(12, 18)","['B', 'C']",B,SUCCESS,1,1
76,PRIORITY,"(11, 4)","['A', 'B']",A,SUCCESS,1,2
30,ALT-OFFER,"(10, 1)","['A', 'B', 'C']",A,SUCCESS,3,1
31,ALT-OFFER,"(10, 1)","['B', 'C']",B,SUCCESS,1,1
81,PRIORITY,"(8, 1)","['A', 'C']",A,SUCCESS,1,2
52,ALT-OFFER,"(10, 13)","['A', 'B']",A,SUCCESS,1,1
74,PRIORITY,"(4, 7)","['A', 'B', 'C']",A,SUCCESS,1,2
75,PRIORITY,"(4, 7)","['B', 'C']",B,SUCCESS,1,2
37,ALT-OFFER,"(9, 31)","['B', 'C']",B,SUCCESS,1,1
111,PRIORITY,"(9, 26)","['A', 'C']",A,SUCCESS,1,2
49,ALT-OFFER,"(13, 25)","['B', 'C']",B,SUCCESS,1,1
8,PRIORITY,"(7, 20)","['B', 'C']",B,SUCCESS,1,2
38,PRIORITY,"(1, 9)","['A', 'C']",A,SUCCESS,1,2
22,PRIORITY,"(11, 4)","['B', 'C']",B,SUCCESS,1,2
30,PRIORITY,"(7, 4)","['B', 'C']",B,SUCCESS,1,2
41,ALT-OFFER,"(11, 6)","['A', 'C']",A,SUCCESS,1,1
42,ALT-OFFER,"(11, 6)","['B', 'C']",B,SUCCESS,3,1
93,ALT-OFFER,"(1, 12)","['A', 'C']",A,SUCCESS,1,1
94,ALT-OFFER,"(1, 12)","['B', 'C']",B,SUCCESS,1,1
208,PRIORITY,"(5, 1)","['A', 'C']",A,SUCCESS,1,2
2,PRIORITY,"(8, 17)","['A', 'B']",A,SUCCESS,1,2
24,PRIORITY,"(4, 9)","['A', 'C']",A,SUCCESS,1,2
9,PRIORITY,"(10, 15)","['A', 'B']",A,SUCCESS,1,2
11,PRIORITY,"(10, 15)","['A', 'B']",A,SUCCESS,1,2
13,PRIORITY,"(10, 15)","['A', 'B']",A,SUCCESS,1,2
24,PRIORITY,"(11, 22)","['A', 'B']",A,SUCCESS,1,2
15,PRIORITY,"(12, 17)","['A', 'B']",A,SUCCESS,1,2
16,PRIORITY,"(12, 17)","['A', 'B']",A,SUCCESS,1,2
171,ALT-OFFER,"(9, 8)","['B', 'C']",C,SUCCESS,2,1
8,PRIORITY,"(8, 19)","['A', 'B', 'C']",A,SUCCESS,1,2
10,PRIORITY,"(7, 21)","['B', 'C']",B,SUCCESS,1,2
40,PRIORITY,"(2, 15)","['A', 'B']",A,SUCCESS,1,2
207,PRIORITY,"(5, 16)","['B', 'C']",C,SUCCESS,1,2
37,ALT-OFFER,"(3, 19)","['B', 'C']",B,SUCCESS,1,1
10,PRIORITY,"(6, 13)","['A', 'B']",A,SUCCESS,1,2
10,PRIORITY,"(5, 10)","['B', 'C']",B,SUCCESS,1,2
100,ALT-OFFER,"(13, 9)","['A', 'C']",A,SUCCESS,1,1
193,PRIORITY,"(9, 23)","['B', 'C']",B,SUCCESS,1,2
51,PRIORITY,"(1, 3)","['B', 'C']",B,SUCCESS,1,2
13,PRIORITY,"(11, 11)","['A', 'B', 'C']",A,SUCCESS,1,2
14,PRIORITY,"(11, 11)","['B', 'C']",B,SUCCESS,1,2
52,ALT-OFFER,"(1, 4)","['A', 'C']",A,SUCCESS,1,1
137,ALT-OFFER,"(1, 30)","['B', 'C']",B,SUCCESS,1,1
156,ALT-OFFER,"(11, 30)","['A', 'C']",A,SUCCESS,1,1
169,ALT-OFFER,"(11, 30)","['B', 'C']",B,SUCCESS,1,1
170,ALT-OFFER,"(11, 30)","['A', 'C']",A,SUCCESS,1,1
194,ALT-OFFER,"(3, 19)","['B', 'C']",B,SUCCESS,1,1
60,ALT-OFFER,"(11, 26)","['A', 'B']",A,SUCCESS,1,1
193,PRIORITY,"(12, 29)","['B', 'C']",C,SUCCESS,1,2
14,PRIORITY,"(8, 19)","['A', 'B', 'C']",A,SUCCESS,1,2
15,PRIORITY,"(8, 19)","['B', 'C']",B,SUCCESS,1,2
16,PRIORITY,"(1, 22)","['B', 'C']",B,SUCCESS,1,2
53,PRIORITY,"(11, 3)","['B', 'C']",B,SUCCESS,1,2
108,ALT-OFFER,"(3, 23)","['A', 'C']",C,SUCCESS,2,1
20,PRIORITY,"(11, 19)","['A', 'C']",C,SUCCESS,1,2
74,ALT-OFFER,"(7, 30)","['A', 'B']",B,SUCCESS,2,1
75,ALT-OFFER,"(7, 30)","['A', 'C']",C,SUCCESS,2,1
92,PRIORITY,"(3, 28)","['A', 'B']",A,SUCCESS,1,2
113,ALT-OFFER,"(5, 14)","['B', 'C']",C,SUCCESS,2,1
114,ALT-OFFER,"(5, 14)","['A', 'B']",B,SUCCESS,2,1
121,ALT-OFFER,"(2, 17)","['A', 'C']",C,SUCCESS,2,1
135,ALT-OFFER,"(7, 11)","['A', 'B']",B,SUCCESS,2,1
215,ALT-OFFER,"(13, 14)","['A', 'C']",C,SUCCESS,2,1
216,ALT-OFFER,"(13, 14)","['A', 'B']",A,SUCCESS,1,1
218,ALT-OFFER,"(13, 15)","['B', 'C']",C,SUCCESS,2,1
3,PRIORITY,"(5, 17)","['B', 'C']",B,SUCCESS,1,2
15,PRIORITY,"(4, 14)","['B', 'C']",B,SUCCESS,1,2
182,PRIORITY,"(5, 19)","['A', 'C']",A,SUCCESS,1,2
15,PRIORITY,"(9, 19)","['A', 'B', 'C']",A,SUCCESS,1,2
25,PRIORITY,"(12, 27)","['B', 'C']",B,SUCCESS,1,2
146,PRIORITY,"(10, 5)","['A', 'C']",A,SUCCESS,1,2
57,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
60,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
61,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
137,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
140,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
141,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
147,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
153,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
1,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
3,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
4,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
91,ALT-OFFER,"(7, 9)","['B', 'C']",C,SUCCESS,2,1
92,ALT-OFFER,"(7, 9)","['B', 'C']",C,SUCCESS,2,1
98,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
99,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
104,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
105,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
116,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
117,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
121,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
122,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
130,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
131,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
132,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
134,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
135,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
142,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
144,ALT-OFFER,"(5, 31)","['A', 'B']",A,SUCCESS,1,1
144,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
150,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
151,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
151,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
152,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
152,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
152,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
153,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
153,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
154,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
155,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
155,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
156,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
157,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
158,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
163,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
164,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
164,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
165,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
165,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
165,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
166,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
166,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
166,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
167,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
167,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
168,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
169,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
180,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
181,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
184,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
185,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
186,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
187,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
204,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
205,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
213,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
214,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
1,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
3,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
97,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
98,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
99,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
100,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
62,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
63,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
64,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
67,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
68,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
69,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
75,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
113,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
114,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
119,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
140,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
141,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
142,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
160,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
161,PRIORITY,LOCAL,"['A', 'C']",A,SUCCESS,1,2
16,PRIORITY,"(6, 8)","['A', 'B']",B,SUCCESS,1,2
16,PRIORITY,LOCAL,"['A', 'B']",B,SUCCESS,1,2
17,PRIORITY,"(6, 8)","['A', 'B']",B,SUCCESS,1,2
17,PRIORITY,LOCAL,"['A', 'B']",B,SUCCESS,1,2
18,PRIORITY,LOCAL,"['A', 'B']",B,SUCCESS,1,2
25,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
31,ALT-OFFER,"(1, 3)","['B', 'C']",B,SUCCESS,1,1
31,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
32,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
38,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
39,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
40,ALT-OFFER,LOCAL,"['B', 'C']",B,SUCCESS,1,1
50,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
51,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
1,PRIORITY,"(7, 17)","['B', 'C']",B,SUCCESS,1,2
1,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
10,ALT-OFFER,"(5, 10)","['A', 'B']",A,SUCCESS,1,1
10,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
11,ALT-OFFER,"(5, 10)","['A', 'B']",A,SUCCESS,1,1
11,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
12,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
53,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
54,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
54,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
55,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
56,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
62,ALT-OFFER,"(13, 4)","['B', 'C']",C,SUCCESS,2,1
62,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
63,ALT-OFFER,"(13, 4)","['B', 'C']",C,SUCCESS,2,1
63,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
68,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
69,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
75,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
76,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
77,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
78,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
82,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
83,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
88,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
91,ALT-OFFER,LOCAL,"['A', 'C']",C,SUCCESS,2,1
139,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
140,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
141,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
142,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
143,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
146,PRIORITY,LOCAL,"['A', 'C']",C,SUCCESS,1,2
147,PRIORITY,LOCAL,"['A', 'C']",C,SUCCESS,1,2
148,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
148,PRIORITY,LOCAL,"['A', 'C']",C,SUCCESS,1,2
149,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
150,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
151,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
151,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
152,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
153,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
161,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
162,PRIORITY,LOCAL,"['B', 'C']",C,SUCCESS,1,2
176,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
1,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
2,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
4,PRIORITY,LOCAL,"['A', 'B']",A,SUCCESS,1,2
135,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
136,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
151,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
153,ALT-OFFER,LOCAL,"['A', 'C']",A,SUCCESS,1,1
165,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
166,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
167,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
168,ALT-OFFER,LOCAL,"['B', 'C']",C,SUCCESS,2,1
169,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
170,ALT-OFFER,LOCAL,"['A', 'B']",A,SUCCESS,1,1
10,PRIORITY,"(7, 22)","['B', 'C']",B,SUCCESS,1,2
10,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
52,PRIORITY,LOCAL,"['B', 'C']",B,SUCCESS,1,2
